Time,Channel A,Channel B
(ms),(mV),(mV)

24.20193625,-0.30757870,2.35605300
24.23527225,-0.28912400,2.21456700
24.26860825,-0.27066930,2.10999000
24.30194425,-0.25836610,1.95620100
24.33528025,-0.24606300,1.80241100
24.36861625,-0.23375980,1.70398600
24.40195225,-0.20915350,1.58710600
24.43528825,-0.19069880,1.45177200
24.46862425,-0.17839570,1.32874000
24.50196025,-0.15994090,1.20570900
24.53529625,-0.14148620,1.05191900
24.56863225,-0.13533460,0.87967510
24.60196825,-0.11072830,0.68282480
24.63530425,-0.09842519,0.45521650
24.66864025,-0.07997046,0.21530510
24.70197625,-0.06151574,-0.04921259
24.73531225,-0.03690945,-0.34448820
24.76864825,-0.02460630,-0.59055110
24.80198425,-0.00615157,-0.81815940
24.83532026,0.00615157,-0.98425190
24.86865626,0.01845472,-1.07037400
24.90199226,0.04306102,-1.07652500
24.93532826,0.06151574,-1.03961600
24.96866426,0.08612204,-0.94119090
25.00200026,0.10457680,-0.71973420
25.03533626,0.12303150,-0.46136810
25.06867226,0.13533460,-0.11687990
25.10200826,0.15378940,0.20915350
25.13534426,0.17224410,0.55364170
25.16868026,0.18454720,0.91658460
25.20201626,0.19685040,1.21186000
25.23535226,0.20915350,1.53174200
25.26868826,0.22760820,1.73474400
25.30202426,0.25221450,1.98695800
25.33536026,0.25836610,2.15920300
25.36869626,0.26451770,2.26993100
25.40203226,0.28297240,2.36220500
25.43536826,0.29527560,2.39296200
25.46870426,0.30757870,2.45447800
25.50204026,0.30757870,2.47908400
25.53537626,0.31373030,2.46063000
25.56871226,0.31988190,2.50369100
25.60204826,0.31988190,2.50984200
25.63538426,0.33833660,2.50984200
25.66872026,0.33833660,2.52214600
25.70205626,0.33833660,2.49138800
25.73539226,0.35679130,2.52829700
25.76872826,0.35063970,2.51599400
25.80206427,0.35679130,2.49753900
25.83540027,0.36294290,2.52214600
25.86873627,0.35679130,2.50369100
25.90207227,0.36909450,2.46063000
25.93540827,0.36909450,2.44217500
25.96874427,0.36909450,2.42987200
26.00208027,0.37524600,2.33144700
26.03541627,0.36909450,2.26377900
26.06875227,0.36294290,2.10999000
26.10208827,0.36294290,2.01771600
26.13542427,0.36909450,1.88238200
26.16876027,0.36909450,1.71628900
26.20209627,0.35679130,1.55019700
26.23543227,0.34448820,1.38410400
26.26876827,0.33833660,1.22416300
26.30210427,0.32603340,1.04576800
26.33544027,0.32603340,0.91043300
26.36877627,0.31988190,0.79970470
26.40211227,0.30757870,0.69512790
26.43544827,0.29527560,0.66437010
26.46878427,0.28297240,0.62130900
26.50212027,0.27682080,0.65206690
26.53545627,0.26451770,0.73818890
26.56879227,0.25221450,0.81200780
26.60212827,0.24606300,0.89197830
26.63546427,0.23991140,0.98425190
26.66880027,0.22760820,1.05807100
26.70213627,0.20915350,1.18725400
26.73547227,0.19685040,1.24877000
26.76880827,0.18454720,1.29798200
26.80214428,0.16609250,1.30413400
26.83548028,0.14763780,1.26107300
26.86881628,0.13533460,1.17495100
26.90215228,0.10457680,1.03961600
26.93548828,0.08612204,0.86122040
26.96882428,0.07381889,0.62746060
27.00216028,0.05536417,0.38139760
27.03549628,0.04306102,0.11072830
27.06883228,0.03690945,-0.12918310
27.10216828,0.02460630,-0.41830710
27.13550428,0.01230315,-0.71358260
27.16884028,0.00615157,-0.99655500
27.20217628,-0.01230315,-1.20570900
27.23551228,-0.02460630,-1.40255900
27.26884828,-0.03690945,-1.61786400
27.30218428,-0.05536417,-1.75935000
27.33552028,-0.07381889,-1.90083600
27.36885628,-0.08612204,-1.98695800
27.40219228,-0.10457680,-2.03002000
27.43552828,-0.11687990,-2.04232300
27.46886428,-0.13533460,-2.04232300
27.50220028,-0.14763780,-1.99926200
27.53553628,-0.15378940,-1.94389800
27.56887228,-0.15994090,-1.87007900
27.60220828,-0.17224410,-1.71628900
27.63554428,-0.18454720,-1.56865100
27.66888028,-0.18454720,-1.38410400
27.70221628,-0.19685040,-1.19340500
27.73555228,-0.20300200,-0.97810030
27.76888829,-0.20915350,-0.75049200
27.80222429,-0.20915350,-0.51673230
27.83556029,-0.20915350,-0.30757870
27.86889629,-0.22145670,-0.11687990
27.90223229,-0.22145670,0.02460630
27.93556829,-0.21530510,0.12918310
27.96890429,-0.22145670,0.19685040
28.00224029,-0.22145670,0.22145670
28.03557629,-0.21530510,0.20300200
28.06891229,-0.22145670,0.12303150
28.10224829,-0.22145670,0.02460630
28.13558429,-0.21530510,-0.05536417
28.16892029,-0.22760820,-0.17839570
28.20225629,-0.22760820,-0.30142710
28.23559229,-0.21530510,-0.44906490
28.26892829,-0.20300200,-0.51673230
28.30226429,-0.20915350,-0.60285430
28.33560029,-0.20300200,-0.65821850
28.36893629,-0.20300200,-0.67667320
28.40227229,-0.19069880,-0.66437010
28.43560829,-0.17839570,-0.63976370
28.46894429,-0.16609250,-0.61515740
28.50228029,-0.15994090,-0.56594490
28.53561629,-0.14763780,-0.49827750
28.56895229,-0.14148620,-0.39370070
28.60228829,-0.12918310,-0.33218500
28.63562429,-0.11687990,-0.24606300
28.66896029,-0.10457680,-0.11687990
28.70229629,-0.09227362,-0.03075787
28.73563230,-0.07997046,0.08612204
28.76896830,-0.06151574,0.16609250
28.80230430,-0.04306102,0.24606300
28.83564030,-0.02460630,0.30142710
28.86897630,-0.00615157,0.31988190
28.90231230,0.00000000,0.34448820
